Maker_ID,Original_Data,Maker_Type,Actor_Type,Organisation_Name,Title,Initials,Surname,First_name,Suffix,Disambiguation_Numeral,Label,VIAF_URI,Wikidata_URI,Alt_name1,Alt_name2,Alt_name3,Alt_name4,Alt_name5,Alt_name6,Alt_name7,Misc_Info
M-20,"Makers ref: 20 | Surname: ATKINSON | First name: James (I) | Alt name: James ATKINSON Senior | Date 1 qual: w | Date 1: 1668 | Date 2 qual: w | Date 2: 1717 | Misc info 1: Editor | Misc info 2: Guild: Clockmakers, fr 1667/8, Joiners? [said to | Misc info 3: be free of JC in CKC records, but not traced] | Misc info 4: | Guild: Clockmakers, Joiners ? | Mig town: L | Count stat: y | Adv trade 1: Math IM, Maths Teacher | Adv trade 2:",Person,Maker,,,,Atkinson,James,,I,James Atkinson,,,James Atkinson Senior,,,,,,,"Editor | Guild: Clockmakers, fr 1667/8, Joiners? [said to | be free of JC in CKC records, but not traced] | Possibly member of Joiners"

M-21,"Makers ref: 21 | Surname: AYSCOUGH | First name: James | Alt name: | Date 1 qual: w pt | Date 1: 1748 | Date 2 qual: w | Date 2: 1759 | Misc info 1: b.c.1718, d 1759; widow, Martha, ran business under husband's name at least until | Misc info 2: 1766; partnership 1743-47; Master SMC 1752-1753 | Misc info 3: | Misc info 4: | Guild: Spectaclemakers, fr 1740 | Mig town: L | Count stat: y | Adv trade 1: Optician, Math IM, Optical IM, Phil IM, Author | Adv trade 2:",Person,Maker,,,,Ayscough,James,,,James Ayscough,,,,,,,,,,"b.c.1718, d 1759; widow, Martha, ran business under husband's name at least until | 1766; partnership 1743-47; Master SMC 1752-1753 | Spectaclemakers, fr 1740"

M-22,"Makers ref: 22 | Surname: WHITE & WALSH | First name: | Alt name: | Date 1 qual: w | Date 1: 1765 | Date 2 qual: w | Date 2: 1765 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: 0 | Mig town: V | Count stat: y | Adv trade 1: Surgeons IM, Math IM | Adv trade 2:",Organisation,Maker,White & Walsh,,,,,,,White & Walsh,,,,,,,,,,

M-23,Makers ref: 23 | Surname: URINGS | First name: Robert Oulton | Alt name: Robert Oulding | Date 1 qual: w | Date 1: 1766 | Date 2 qual: w | Date 2: 1766 | Misc info 1: | Misc info 2: | Misc info 3: | Misc info 4: | Guild: [Joiners] | Mig town: L-V? | Count stat: y | Adv trade 1: Math IM | Adv trade 2:,Person,Maker,,,,Urings,Robert Oulton,,,Robert Oulton Urings,,,Robert Oulding,,,,,,,"Apprenticed in Joiners, but freedom not traced"

M-24,"Makers ref: 24 | Surname: BAILEY | First name: William | Alt name: BAYLEY, BAYLY | Date 1 qual: w | Date 1: 1759 | Date 2 qual: w | Date 2: 1794 | Misc info 1: MC Livery  1766; owned houses in Hanover St, Rotherhithe, to insured value of £2700 | Misc info 2: | Misc info 3: | Misc info 4: | Guild: Masons, fr 1756 | Mig town: L | Count stat: y | Adv trade 1: Math IM, Watch Finisher | Adv trade 2:",Person,Maker,,,,Bailey,William,,,William Bailey,,,William Bayley,William Bayly,,,,,,"MC Livery 1766; owned houses in Hanover St, Rotherhithe, to insured value of £2700 | Masons, fr 1756"

