relation_id,target_maker_id,is_auto_disambiguation
15925,6259,
20150,8722,
11603,10049,
2864,1303,
189,1960,
687,1849,
144,1699,
4270,2276,
6483,3030,
13630,1562,
2115,551,
1150,2976,
14524,767,
5896,1687,
2910,1548,
13032,1893,
13061,2394,
5050,674,
5638,1918,
15516,5948,
4692,937,
3797,430,
4540,4318,
10356,1721,
13631,1398,
20918,6551,
14538,5635,
425,118,1
112,345,
12871,3518,
16491,6726,
5790,991,
18089,4289,
16741,8479,
5427,831,
14044,5170,
4559,3841,
13876,557,
6604,1936,
12263,3097,
20805,10463,
5630,3294,
14058,5768,
16141,6445,
8809,2631,
1846,2713,
1162,271,1
11341,3645,
1909,588,
14561,5441,
16993,3449,1
3706,831,
4337,8,
3066,541,
13803,5366,
20746,9624,
5730,5836,
20612,7366,
7204,3030,
20634,7923,
17316,7581,
20260,4916,
17034,3457,
3501,750,
5270,582,
5279,1344,
15976,6267,
17747,9560,
10521,3333,
19790,9422,
8896,2667,
14972,2914,
8942,2691,
11019,2599,
17520,9523,
15461,9578,
15956,6268,
13612,5127,
3933,670,
7193,5152,
10572,423,
15437,7890,
17859,10502,
19295,2978,
256,1539,
11252,3668,
13857,8828,
4551,389,
10309,2592,
16375,4902,
4314,1501,
2657,581,
9916,2496,
11347,3658,
4771,676,
4684,2941,
14195,7237,
8468,1522,
15339,4573,
10050,840,
17273,5690,
13261,238,
20142,6159,
15929,6258,
18535,3257,
13796,2618,
19816,5873,
15775,1142,
17536,5866,
3728,314,
4696,3582,
5325,290,
3134,2546,
3482,1886,
3155,677,
2812,794,
792,6430,
8650,3197,
6186,1775,
1756,1704,
6509,2003,
6373,551,
5109,421,
6241,593,
1975,4566,
17764,2475,
5725,5929,
2535,557,
20053,4871,
16015,4727,
20151,8722,
11605,3669,
2870,1292,
689,832,
824,1215,
4277,561,
6550,1915,
13744,3,
14036,5168,
6080,5505,
1151,1314,
18360,2903,
5974,2708,
2911,1040,
17463,4648,
13160,9036,
2708,2036,
4600,1149,
7290,2335,
3804,1817,
4541,2137,
7500,2274,
2240,486,
4156,915,
8979,2679,
4293,981,
127,26,
113,2536,
1677,363,1
20919,6247,
16492,6723,
14539,9069,
13632,696,
12873,6597,
18090,8351,
14107,5239,
13879,9553,
6455,4163,
16742,8480,
12708,2890,
5429,922,
4560,60,
6454,4761,
14074,3363,
8810,2633,
20806,10186,
6605,1935,
16142,7350,
12559,9355,
5726,1245,
3128,499,
20747,9624,
4451,77,
3707,4447,
15028,4232,
5731,5835,
20408,9137,
20635,5901,
15131,2217,
7205,2274,
15463,9575,
17317,10240,
5453,8824,
13711,4918,
15446,5524,
7408,9842,
3068,4595,
6170,1776,1
17455,7732,
11257,3881,
15978,4717,
18044,2344,
14364,927,
3167,50,
3503,783,
13862,2048,
17568,10533,
16376,2070,
5272,2267,
15957,2763,
11348,3660,
13685,1353,
21047,10565,
19791,9423,
6421,641,
4061,316,
17922,8212,
11158,2532,
8897,2668,
8943,1576,
11020,3451,
7196,5268,
1091,239,
10918,3437,
14196,4366,
15342,2249,
17288,1496,
3522,756,
20181,10018,
4552,1050,
10708,3274,
10522,3333,
4315,246,
15930,6260,
4829,184,
18537,8739,
10051,3219,
17553,3206,
19851,935,
15836,6179,
4956,358,
9919,3001,
1758,1092,
3138,359,
3489,751,
3158,4869,
2813,831,
793,845,
8651,2579,
6232,1000,
6512,1905,
4685,2942,
2536,558,
6288,1736,
10648,1798,
20083,9724,
1976,716,
7816,2481,
16411,9235,
20152,8903,
11606,3669,
6566,728,
2121,1603,
2501,511,
690,1849,
827,184,
4278,562,
5735,622,
13779,430,
2828,6024,
6400,2928,
2282,494,
18580,3112,
4201,2971,
1678,2643,
14037,2957,
5517,1452,
2709,393,
4542,2547,
13262,3122,
3805,1816,
5823,5236,
5467,1463,
18091,183,
2438,2275,
4157,4484,
4637,3964,
4750,1027,
128,844,
3809,353,
10131,3020,
661,165,
20920,6550,
5431,922,
15042,5618,
16495,4110,
18120,6979,
8191,2494,
13368,4639,
13633,9898,
14141,5278,
4705,753,
16743,6996,
1914,2104,
6458,2960,
13995,6989,
4657,924,
3069,4412,
20807,10461,
15272,166,
16388,6622,
1170,3517,1
5897,1687,
12561,4252,
12709,6694,
14123,5252,
20748,10172,
3168,696,
6606,1937,
5095,345,
8811,2632,
20613,7366,
19794,9421,
20636,7339,
15103,5650,
5727,6961,
6423,876,
17563,7992,
17492,7763,
16126,6420,
4082,3241,
4433,24,
1354,768,
5733,4600,
19731,1907,
7227,2115,
10780,2496,
17628,9959,
18373,4725,
15958,9263,
21032,9877,
5498,1449,
7409,2610,
5472,4599,
1568,1488,
17923,8210,
15464,9578,
10154,7645,
8921,4242,
4316,1502,
5570,4880,
2662,582,
13713,2088,
11165,622,
15447,5524,
4686,2943,
14156,438,
9152,4073,
13899,4143,
8085,1245,
16442,1193,
11725,3891,
7197,7177,
10919,7867,
13687,2137,
2553,557,
14215,3440,
15346,7735,
17682,3219,
2502,551,
3490,2509,
15931,6261,
13798,2603,
19852,8880,
15837,4676,
17579,5881,
3730,5385,
691,1848,
3162,430,
8317,2502,
2814,356,
794,184,
828,1040,
6239,2390,
1761,430,
6513,1906,
13199,4488,
4279,1988,
3384,1356,
12121,1240,
1977,748,
7817,2482,
2538,557,
20086,9902,
16703,915,
20397,7900,
11607,6799,
6551,1600,
15069,2321,
2829,575,
6087,5497,
2283,495,
18581,1715,
3523,1954,
4202,3754,
1679,363,
13161,508,
3375,738,
18503,2932,
4693,936,
10712,8655,
4543,294,
3806,1815,
5825,1625,
18092,3654,
2528,4424,
4158,4487,
4660,3138,
4754,541,
1533,273,
3813,353,
10132,2794,
13366,312,
15108,4452,
663,164,
14793,726,
13455,6267,
20931,10376,
5890,510,
5341,6215,1
6459,2143,
10926,3457,
16496,6724,
8193,3439,
4712,37,
14197,10416,
13996,3172,
1916,3385,
4658,1143,
8458,435,
18123,8580,
380,135,1
3071,1446,
12821,3518,
15291,1156,
5728,1245,
3169,696,
4484,345,
4450,5729,
4702,3253,
16745,6998,
14154,4210,
19795,9422,
5750,1524,
7228,684,
8812,2634,
20808,10366,
6424,2698,
7080,2858,
4083,1026,
16448,4103,
15104,5650,
11173,704,
12563,9355,
7506,1590,
5967,5728,
1355,4196,
3995,861,1
1569,340,
18682,916,
20749,7409,
4553,1105,
20615,10474,
9668,2738,
15508,5936,
4954,1590,
17647,5901,
13714,2088,
2665,728,
17781,3472,
5475,1430,
16186,6491,
15448,5904,
10194,3154,
15085,4046,
11259,5464,
19734,2200,
11176,3562,
14217,5203,
9153,2765,
17629,7892,
16481,4109,
4687,6926,
16026,2770,
21030,6795,
14157,439,
11726,3891,
8112,2599,
2554,556,
9300,4754,
13808,6796,
2504,551,
18026,792,
15626,2883,
692,4838,
7233,9338,
2830,6024,
11931,2394,
15439,4208,
17683,840,
20221,3478,
16288,2048,
18567,3474,
13799,2618,
19853,9626,
15839,4678,
17738,9432,
3732,445,
5380,1375,
6714,165,
8318,2534,
3491,783,
3163,314,
2815,411,
797,421,
1656,610,
8074,1000,
1763,519,
1642,824,
14173,1068,
8364,2516,
3388,737,
12908,749,
11163,814,
1979,431,
7832,1801,
2540,5714,
20087,5520,
16704,6963,
20398,7892,
11608,10047,
2873,1042,
4281,5521,
4445,2839,
10715,7046,
2286,495,
5807,2978,
6594,3418,
4261,2954,
1830,2757,
15496,1588,
5518,696,
3376,738,
5281,830,
2133,4254,
4455,5721,
4545,2253,
5826,2978,
10358,8736,
18093,495,
2529,841,
15126,5672,
13476,4746,
20936,10247,
18582,1129,
16498,6726,
6460,2144,
14209,7234,
664,165,
18124,8582,
5892,945,
8459,991,
16859,4271,
8196,3000,
20923,8520,
5956,2540,
4731,4689,
14225,5328,
1918,428,
12822,8432,
4688,2650,
12565,9361,
4467,182,
14220,1545,
5752,1915,
10037,566,
20750,4913,
3074,3008,
20616,4937,
20637,6679,
15121,1113,
17906,8201,
18805,8910,
3432,2278,
7229,684,
54,1236,1
10096,1715,
19757,8788,
3694,8452,
19736,4252,
4485,5750,
3947,802,1
19862,9502,
16225,3575,
21029,4995,
5687,682,
15570,5657,
5098,345,
814,182,
18027,1,
10195,3155,
7755,2383,
5572,608,
4453,1709,
11174,5508,
20228,9848,
5972,3516,
11262,8320,
1571,2862,
13937,4149,
9154,2764,
8427,2742,1
16581,6804,
9369,2825,
4554,1557,
9670,2100,
16382,6613,
2666,581,
15086,4046,
11727,3893,
7239,2192,
13833,6127,
12670,1072,
11177,421,
14237,2282,
5253,667,
17691,3471,
16407,4485,
18571,10169,
13800,188,
20054,9969,
15840,6181,
17814,7811,
3736,358,
8205,2500,
6715,4046,
8706,1825,
4710,1177,
3164,945,
2816,184,
798,184,
1657,610,
8075,2468,
1764,395,
1644,824,
14175,698,
8367,588,
3389,47,
13046,4490,
11796,1000,
1983,4300,
7833,3986,
2542,558,
20091,10532,
16705,915,
13187,4553,
11609,3780,
8113,2477,
3018,663,
10861,3456,
1088,4599,
4297,53,
5808,1626,
2831,947,
6088,5498,
2636,408,
221,390,
6595,547,
