town_location_id,geom,town
195,"{""type"":""Point"",""coordinates"":[-0.5732063,51.2356068]}",Guildford
196,"{""type"":""Point"",""coordinates"":[-2.779317,55.9556144]}",Haddington
197,"{""type"":""Point"",""coordinates"":[0.9542292,52.0441822]}",Hadleigh
198,"{""type"":""Point"",""coordinates"":[0.993789825,51.958206722]}",Dedham
199,"{""type"":""Point"",""coordinates"":[0.2730609,50.86282295]}",Hailsham
200,"{""type"":""Point"",""coordinates"":[0.0933827,51.6033138]}",Hainault
201,"{""type"":""Point"",""coordinates"":[1.5001649,52.3418147]}",Halesworth
202,"{""type"":""Point"",""coordinates"":[-1.539318251,53.991206444]}",Harrogate
203,"{""type"":""Point"",""coordinates"":[-5.075877977,56.230334452]}",Inverary
204,"{""type"":""Point"",""coordinates"":[-0.3394758,53.7435722]}",Hull
205,"{""type"":""Point"",""coordinates"":[-2.0161045,52.2012131]}",Kington
206,"{""type"":""Point"",""coordinates"":[-0.181753275,52.34244415]}",Huntingdon
207,"{""type"":""Point"",""coordinates"":[-2.9102756,50.9267192]}",Ilminster
208,"{""type"":""Point"",""coordinates"":[-2.97513869,53.387016144]}",Liverpool SW
209,"{""type"":""Point"",""coordinates"":[-79.8728583,43.2560802]}",Hamilton
210,"{""type"":""Point"",""coordinates"":[-1.24340936,51.04483545]}",Hampshire
211,"{""type"":""Point"",""coordinates"":[-2.1753695,53.0259916]}",Hanley
212,"{""type"":""Point"",""coordinates"":[0.0974893,51.7676194]}",Harlow
213,"{""type"":""Point"",""coordinates"":[-2.433541843,55.598168991]}",Kelso
214,"{""type"":""Point"",""coordinates"":[-1.2093696,54.6857276]}",Hartlepool
215,"{""type"":""Point"",""coordinates"":[1.2898522,51.9445801]}",Harwich
216,"{""type"":""Point"",""coordinates"":[-2.898906,53.4851525]}",Kirkby
217,"{""type"":""Point"",""coordinates"":[-4.225739,57.4790124]}",Inverness
218,"{""type"":""Point"",""coordinates"":[-2.3742165,57.2838703]}",Inverurie
113,"{""type"":""Point"",""coordinates"":[-6.668423905,55.133864121]}",Coleraine
132,"{""type"":""Point"",""coordinates"":[-0.773698632,53.397148243]}",Gainsborough
219,"{""type"":""Point"",""coordinates"":[0.5824703,50.8553888]}",Hastings
220,"{""type"":""Point"",""coordinates"":[-4.9651074,51.8023297]}",Haverfordwest
221,"{""type"":""Point"",""coordinates"":[-2.235751602,54.3012408]}",Hawes 
222,"{""type"":""Point"",""coordinates"":[0.2517025,50.9717443]}",Heathfield
223,"{""type"":""Point"",""coordinates"":[-0.9050287,51.5375786]}",Henley
224,"{""type"":""Point"",""coordinates"":[-3.1582296,56.1110218]}",Kirkcaldy
225,"{""type"":""Point"",""coordinates"":[-2.876519326,53.7801594]}",Kirkham
226,"{""type"":""Point"",""coordinates"":[-2.7151735,52.0553813]}",Hereford
227,"{""type"":""Point"",""coordinates"":[-0.078521,51.7957409]}",Hertford 
228,"{""type"":""Point"",""coordinates"":[-2.1017927,54.971478]}",Hexham
229,"{""type"":""Point"",""coordinates"":[-0.1938826,51.650399]}",High Barnet
230,"{""type"":""Point"",""coordinates"":[-1.5437941,53.7974185]}",Leeds
231,"{""type"":""Point"",""coordinates"":[-2.960369,58.9816049]}",Kirkwall
232,"{""type"":""Point"",""coordinates"":[-1.465127931,54.0101765]}",Knaresborough
233,"{""type"":""Point"",""coordinates"":[-0.7484153,51.627422]}",High Wycombe
234,"{""type"":""Point"",""coordinates"":[-0.2791646,51.9464129]}",Hitchin
235,"{""type"":""Point"",""coordinates"":[-0.0112898,51.7616709]}",Hoddesdon
236,"{""type"":""Point"",""coordinates"":[-0.3295028,51.0630273]}",Horsham
237,"{""type"":""Point"",""coordinates"":[-2.5667465,51.4337828]}",Knowle
238,"{""type"":""Point"",""coordinates"":[-0.117287,51.5013012]}",Lambeth
239,"{""type"":""Point"",""coordinates"":[-2.9184596,54.7145487]}",Lamonby
240,"{""type"":""Point"",""coordinates"":[-3.7780361,55.6736271]}",Lanark
241,"{""type"":""Point"",""coordinates"":[-1.7822482,53.6466645]}",Huddersfield
